"Gene(s)","Show Drug Name","Status Description","Therapy","Drug response","Best Interaction","Family(ies)","Source(s)","DScore","GScore","Best Candidate Therapy","Warning(s)"
"KRAS","SOTORASIB","Approved for lung cancer","TARGETED_THERAPY","SENSITIVITY","direct-target","K-Ras inhibitor(Cmap)","DrugBank|MOAlmanac|OncoKB","0.914","0.6732","true","-"
"KRAS|MUC16","DOCETAXEL","Approved for breast, esophagus, head and neck, lung, prostate and stomach cancer","CHEMOTHERAPY","SENSITIVITY","biomarker","tubulin polymerization inhibitor(Cmap)","JAX-CKB|NCI","0.822","0.6732","true","-"
"KRAS","TRAMETINIB","Approved for lung, skin and thyroid cancer","TARGETED_THERAPY","SENSITIVITY","biomarker","MEK inhibitor(Cmap)","ClearityFoundationBiomarkers|GDSC|JAX-CKB|OncoKB|PharmGKB","0.814","0.6732","true","-"
"KRAS","EVEROLIMUS","Approved for brain, breast, intestine, kidney, lung, pancreas, spinal cord and stomach cancer","TARGETED_THERAPY","SENSITIVITY","biomarker","mTOR inhibitor(Cmap)","ClearityFoundationBiomarkers|JAX-CKB","0.813","0.6732","true","-"
"KRAS","PEMBROLIZUMAB","Approved for bladder, blood, brain, breast, colon, esophagus, head and neck, kidney, liver, lung, rectum, skin, spinal cord, stomach and uterus cancer","TARGETED_THERAPY","SENSITIVITY","biomarker","Other","JAX-CKB|MOAlmanac","0.813","0.6732","true","-"
"KRAS","ATEZOLIZUMAB","Approved for bladder, breast, liver, lung and skin cancer","TARGETED_THERAPY","SENSITIVITY","biomarker","Other","JAX-CKB","0.812","0.6732","true","-"
"KRAS","BEVACIZUMAB","Approved for brain, breast, colon, fallopian tube, kidney, liver, lung, ovary, peritoneum, rectum and uterus cancer","TARGETED_THERAPY","SENSITIVITY","biomarker","Other","JAX-CKB","0.812","0.6732","true","-"
"KRAS","CRIZOTINIB","Approved for lung cancer","TARGETED_THERAPY","SENSITIVITY","biomarker","ALK tyrosine kinase receptor inhibitor(Cmap)","JAX-CKB","0.812","0.6732","true","-"
"KRAS","DABRAFENIB","Approved for lung, skin and thyroid cancer","TARGETED_THERAPY","SENSITIVITY","biomarker","RAF inhibitor(Cmap)","JAX-CKB|PharmGKB","0.812","0.6732","true","-"
"KRAS","DOXORUBICIN","Approved for adrenal gland, bladder, blood, blood and lymph vessels, bone, bone marrow, breast, kidney, lung, ovary, soft tissue, stomach and thyroid cancer","CHEMOTHERAPY","SENSITIVITY","biomarker","topoisomerase inhibitor(Cmap)","JAX-CKB","0.812","0.6732","true","-"
"KRAS","GEMCITABINE","Approved for breast, lung, ovary and pancreas cancer","CHEMOTHERAPY","SENSITIVITY","biomarker","ribonucleotide reductase inhibitor(Cmap)","JAX-CKB","0.812","0.6732","true","-"
"KRAS","PEMETREXED","Approved for lung cancer","CHEMOTHERAPY","SENSITIVITY","biomarker","dihydrofolate reductase inhibitor(Cmap)|thymidylate synthase inhibitor(Cmap)","JAX-CKB","0.812","0.6732","true","-"
"KRAS","RAMUCIRUMAB","Approved for colon, esophagus, liver, lung, rectum and stomach cancer","TARGETED_THERAPY","SENSITIVITY","biomarker","Other","JAX-CKB|PharmGKB","0.812","0.6732","true","-"
"MUC16","ETOPOSIDE","Approved for lung and testis cancer","CHEMOTHERAPY","SENSITIVITY","biomarker","topoisomerase inhibitor(Cmap)","NCI","0.812","0.504","-","-"
"MUC16","TOPOTECAN","Approved for lung, ovary and uterus cancer","CHEMOTHERAPY","SENSITIVITY","biomarker","topoisomerase inhibitor(Cmap)","NCI","0.812","0.504","-","-"
"KRAS","AFATINIB","Approved for lung cancer","TARGETED_THERAPY","RESISTANCE","biomarker","EGFR inhibitor(Cmap)","GDSC|JAX-CKB","-0.812","0.6732","-","-"
"KRAS","MERELETINIB","Approved for lung cancer","TARGETED_THERAPY","RESISTANCE","biomarker","EGFR inhibitor(Cmap)","GDSC|JAX-CKB","-0.812","0.6732","-","-"
"KRAS","ERLOTINIB","Approved for lung and pancreas cancer","TARGETED_THERAPY","RESISTANCE","biomarker","EGFR inhibitor(Cmap)","ClearityFoundationBiomarkers|GDSC|JAX-CKB","-0.813","0.6732","-","-"
"KRAS","GEFITINIB","Approved for lung cancer","TARGETED_THERAPY","RESISTANCE","biomarker","EGFR inhibitor(Cmap)","ClearityFoundationBiomarkers|GDSC|JAX-CKB|MOAlmanac","-0.814","0.6732","-","-"
